;href;lat;long;name;name_reg;norm_name;norm_reg;oktmo;people;phone_code;post_ind;reg;square;timezone
56;https://ru.wikipedia.org/wiki/%D0%98%D0%BB%D1%8C%D1%81%D0%BA%D0%B8%D0%B9;44.85444444;38.57027778;Ильский;Краснодарский край;Ильский;Краснодарский;3643155051;25306;786166;;3.0;0.0;UTC+3
57;https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%BE%D0%B9;44.41361111;40.78972222;Мостовской;Краснодарский край;Мостовской;Краснодарский;3633151051;25131;786192;352570-352574;3.0;0.0;UTC+3
58;https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B5%D1%80%D1%81%D0%BA%D0%B0%D1%8F;44.85;38.66666667;Северская;Краснодарский край;Северская;Краснодарский;3643413101;24867;786166;353240;3.0;0.0;UTC+3
59;https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D0%B8%D0%B7%D0%B0%D0%B2%D0%B5%D1%82%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);45.04805556;38.79277778;Елизаветинская;Краснодарский край;Елизаветинская;Краснодарский;3701000131;24755;;;3.0;0.0;UTC+3
60;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%82%D0%B8%D1%82%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F;45.23583333;38.97111111;Новотитаровская;Краснодарский край;Новотитаровская;Краснодарский;3614416101;24754;786162;;3.0;0.0;UTC+3
61;https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D1%80%D0%B0%D0%B4%D0%BD%D0%B0%D1%8F_(%D0%9E%D1%82%D1%80%D0%B0%D0%B4%D0%BD%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD);44.39611111;41.525;Отрадная;Краснодарский край;Отрадная;Краснодарский;3637413101;23204;786144;;3.0;0.0;UTC+3
62;https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B4%D1%8B%D0%B6%D0%B5%D0%BD%D1%81%D0%BA;44.42388889;39.53722222;Хадыженск;Краснодарский край;Хадыженск;Краснодарский;3605109001;22706;786152;352680–352681;3.0;0.0;UTC+3
63;https://ru.wikipedia.org/wiki/%D0%91%D1%80%D1%8E%D1%85%D0%BE%D0%B2%D0%B5%D1%86%D0%BA%D0%B0%D1%8F;45.80083333;39.00416667;Брюховецкая;Краснодарский край;Брюховецкая;Краснодарский;3610407101;22139;786156;;3.0;0.0;UTC+3
64;https://ru.wikipedia.org/wiki/%D0%90%D1%85%D1%82%D1%8B%D1%80%D1%81%D0%BA%D0%B8%D0%B9;44.83333333;38.28333333;Ахтырский;Краснодарский край;Ахтырский;Краснодарский;3601153051;20983;786150;;3.0;0.0;UTC+3
65;https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA;56.01194444;92.87138889;Красноярск;Красноярский край;Красноярск;Красноярский;4701000001;1083000;7391;660ххх;4.0;0.0;UTC+7
66;https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D1%80%D0%B8%D0%BB%D1%8C%D1%81%D0%BA;69.33333333;88.21666667;Норильск;Красноярский край;Норильск;Красноярский;4729000001;177428;73919;;4.0;0.0;UTC+7
67;https://ru.wikipedia.org/wiki/%D0%90%D1%87%D0%B8%D0%BD%D1%81%D0%BA;56.26666667;90.5;Ачинск;Красноярский край;Ачинск;Красноярский;4703000001;105364;739151;662150—662165;4.0;0.0;UTC+7
68;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D1%81%D0%BA;56.2;95.7;Канск;Красноярский край;Канск;Красноярский;4720000001;90231;739161;6636**;4.0;0.0;UTC+7
69;https://ru.wikipedia.org/wiki/%D0%96%D0%B5%D0%BB%D0%B5%D0%B7%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);56.25;93.53333333;Железногорск;Красноярский край;Железногорск;Красноярский;4735000001;84543;73919;662970;4.0;0.0;UTC+7
70;https://ru.wikipedia.org/wiki/%D0%9C%D0%B8%D0%BD%D1%83%D1%81%D0%B8%D0%BD%D1%81%D0%BA;53.7;91.68333333;Минусинск;Красноярский край;Минусинск;Красноярский;4723000001;68309;739132;662600;4.0;0.0;UTC+7
71;https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BB%D0%B5%D0%BD%D0%BE%D0%B3%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);56.1;94.58333333;Зеленогорск;Красноярский край;Зеленогорск;Красноярский;4737000001;62466;739169;663690;4.0;0.0;UTC+7
72;https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%81%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA;58.23333333;92.48333333;Лесосибирск;Красноярский край;Лесосибирск;Красноярский;4722000001;59844;739145;;4.0;0.0;UTC+7
73;https://ru.wikipedia.org/wiki/%D0%9D%D0%B0%D0%B7%D0%B0%D1%80%D0%BE%D0%B2%D0%BE_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);56.00638889;90.39138889;Назарово;Красноярский край;Назарово;Красноярский;4726000001;50397;+7 39155;662200;4.0;0.0;UTC+7
74;https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BE%D0%B1%D0%BE%D1%80%D1%81%D0%BA_(%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B0%D0%B9);56.13333333;93.36666667;Сосновоборск;Красноярский край;Сосновоборск;Красноярский;4733000001;39375;739131;662500, 662501;4.0;0.0;UTC+7
