norm_name;num;href;name;square;people;adm_center;num_reg;num_city;okato;num_mun_reg;num_mun_city;FederalDistrictName;FederalDistrictID
Псковская;62;https://ru.wikipedia.org/wiki/%D0%9F%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Псковская область;55399;642164;Псков;24;2;58;24;2;Северо-Западный федеральный округ;2
Ростовская;63;https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Ростовская область;100967;4231355;Ростов-на-Дону;43;16;60;43;12;Южный федеральный округ;3
Рязанская;64;https://ru.wikipedia.org/wiki/%D0%A0%D1%8F%D0%B7%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Рязанская область;39605;1126739;Рязань;25;4;61;25;4;Центральный федеральный округ;1
Самарская;65;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Самарская область;53565;3203679;Самара;27;10;36;27;10;Приволжский федеральный округ;5
Саратовская;66;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Саратовская область;101240;2479260;Саратов;38;13;63;38;4;Приволжский федеральный округ;5
Сахалинская;67;https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%85%D0%B0%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Сахалинская область;87101;487344;Южно-Сахалинск;17;9;64;1;17;Дальневосточный федеральный округ;8
Свердловская;68;https://ru.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B5%D1%80%D0%B4%D0%BB%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Свердловская область;194307;4329341;Екатеринбург;30;34;65;5;68;Уральский федеральный округ;6
Смоленская;69;https://ru.wikipedia.org/wiki/%D0%A1%D0%BC%D0%BE%D0%BB%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Смоленская область;49779;953201;Смоленск;25;2;66;25;2;Центральный федеральный округ;1
Тамбовская;70;https://ru.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BC%D0%B1%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Тамбовская область;34462;1040327;Тамбов;23;7;68;23;7;Центральный федеральный округ;1
Тверская;71;https://ru.wikipedia.org/wiki/%D0%A2%D0%B2%D0%B5%D1%80%D1%81%D0%BA%D0%B0%D1%8F_%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C;Тверская область;84201;1296799;Тверь;36;12;28;36;7;Центральный федеральный округ;1
